activity_label,activity_id_original,activity_name
0,1,Brushing teeth with a manual toothbrush (during a complete brushing)
1,2,Brushing teeth with an electric toothbrush (during a complete brushing)
2,3,Washing hands
3,4,Eat soup (or any other liquid) with a spoon from a bowl
4,5,Cutting food (e.g. a slice of bread) with a knife and fork
5,6,Peeling a fruit with a knife (an apple or a kiwi fruit)
6,7,Applauding
7,8,Combing hair
8,9,Cleaning (wiping with a cloth with some energy on a smooth flat surface)
9,10,Sweep with a broom
10,11,Write on a sheet of paper a sentence with a pen
11,12,Writing a sentence with a keyboard on the computer
12,13,Send a message through the WhatsApp application on a cell phone
13,14,Fold a piece of paper several times
14,15,Mark a phone number on a cell phone and hold the cell phone to your ear
15,16,Pick up an object from the floor from upright position and bring it to chest height
16,17,Open a threaded bottle cap (loosely pre-opened)
17,18,Drink water from a glass
18,19,Pour water into a glass with a pitcher
19,20,Put on a pair of glasses
20,21,Put on a jacket or sweatshirt
21,22,Remove a jacket or sweatshirt
22,23,Put on a shoe and tie the laces
23,24,Waving goodbye naturally
24,25,Nose blowing
25,26,Open and close a door by turning a doorknob
26,27,Button a shirt button
27,28,Raise and lower a zipper
28,29,Screw a screw
